"country.ind","appln_filing_year","pat_tech_sum"
"AGO.High Tech",2013,2
"AGO.Medium-High Tech",2013,4
"ALB.High Tech",2001,1
"ALB.High Tech",2013,1
"ALB.Low Tech",2001,4
"ALB.Medium-High Tech",2001,5
"ALB.Medium-High Tech",2006,3
"ALB.Medium-High Tech",2010,2
"ALB.Medium-High Tech",2013,3
"AND.High Tech",2008,2
"AND.Low Tech",2004,3
"AND.Low Tech",2005,3
"AND.Low Tech",2008,1
"AND.Medium-High Tech",2011,1
"AND.Medium-High Tech",2012,1
"AND.Medium-Low Tech",2004,3
"AND.Medium-Low Tech",2005,3
"AND.Medium-Low Tech",2008,1
"ARE.High Tech",2001,1
"ARE.High Tech",2003,1
"ARE.High Tech",2005,1
"ARE.High Tech",2006,1
"ARE.High Tech",2007,2
"ARE.High Tech",2008,4
"ARE.High Tech",2009,1
"ARE.High Tech",2010,11
"ARE.High Tech",2011,1
"ARE.High Tech",2012,13
"ARE.High Tech",2013,20
"ARE.High Tech",2014,1
"ARE.Low Tech",2007,2
"ARE.Low Tech",2009,1
"ARE.Low Tech",2010,4
"ARE.Low Tech",2011,1
"ARE.Low Tech",2012,2
"ARE.Low Tech",2013,6
"ARE.Low Tech",2014,4
"ARE.Medium-High Tech",2000,1
"ARE.Medium-High Tech",2002,2
"ARE.Medium-High Tech",2003,1
"ARE.Medium-High Tech",2006,7
"ARE.Medium-High Tech",2008,3
"ARE.Medium-High Tech",2009,7
"ARE.Medium-High Tech",2010,11
"ARE.Medium-High Tech",2011,20
"ARE.Medium-High Tech",2012,15
"ARE.Medium-High Tech",2013,21
"ARE.Medium-High Tech",2014,19
"ARE.Medium-Low Tech",2007,1
"ARE.Medium-Low Tech",2009,1
"ARE.Medium-Low Tech",2010,5
"ARE.Medium-Low Tech",2011,1
"ARG.High Tech",2001,8
"ARG.High Tech",2003,2
"ARG.High Tech",2004,3
"ARG.High Tech",2005,1
"ARG.High Tech",2007,1
"ARG.High Tech",2008,9
"ARG.High Tech",2009,4
"ARG.High Tech",2010,1
"ARG.High Tech",2011,10
"ARG.High Tech",2012,8
"ARG.High Tech",2013,2
"ARG.Low Tech",2000,4
"ARG.Low Tech",2001,7
"ARG.Low Tech",2003,1
"ARG.Low Tech",2004,1
"ARG.Low Tech",2005,3
"ARG.Low Tech",2007,5
"ARG.Low Tech",2008,2
"ARG.Low Tech",2010,2
"ARG.Low Tech",2011,1
"ARG.Low Tech",2012,7
"ARG.Low Tech",2013,6
"ARG.Medium-High Tech",2000,1
"ARG.Medium-High Tech",2001,4
"ARG.Medium-High Tech",2003,1
"ARG.Medium-High Tech",2004,3
"ARG.Medium-High Tech",2005,13
"ARG.Medium-High Tech",2006,2
"ARG.Medium-High Tech",2007,2
"ARG.Medium-High Tech",2008,2
"ARG.Medium-High Tech",2009,4
"ARG.Medium-High Tech",2010,2
"ARG.Medium-High Tech",2011,5
"ARG.Medium-High Tech",2012,3
"ARG.Medium-High Tech",2013,3
